description;url;price;stars;reviews_num
SAMSUNG 13.3” Galaxy Book2 Pro Laptop Computer, i5 / 8GB / 256GB, 12th Gen Intel Core Processor, Evo Certified, Lightweight, 2022 Model, Graphite;https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A03920411WR385WRC9O2M&qualifier=1671914985&id=1217841455447275&widgetName=sp_atf&url=%2FSAMSUNG-Computer-Processor-Certified-Lightweight%2Fdp%2FB09R8YJB9W%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2JUKYBAPLWFUW%26keywords%3Dlaptop%26qid%3D1671914985%26sr%3D8-1-spons%26psc%3D1;799;4.2 out of 5 stars;7
GKDY Portable Monitor, 15.6'' FHD 1080P IPS Laptop Monitor Computer Display Gaming Monitor with Dual Full Function USB Type-C & HDMI, External Travel Monitor for Laptop PC Phone Mac PS4 Xbox Switch;https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A101675115ST8M7ACYLMH&qualifier=1671914985&id=1217841455447275&widgetName=sp_atf&url=%2FGKDY-Portable-Computer-Function-External%2Fdp%2FB0BGRF3BQP%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2JUKYBAPLWFUW%26keywords%3Dlaptop%26qid%3D1671914985%26sr%3D8-2-spons%26psc%3D1;129;;
"Lenovo 2022 Newest Ideapad 3 Laptop, 15.6"" HD Touchscreen, 11th Gen Intel Core i3-1115G4 Processor, 8GB DDR4 RAM, 256GB PCIe NVMe SSD, HDMI, Webcam, Wi-Fi 5, Bluetooth, Windows 11 Home, Almond";https://www.amazon.com/Lenovo-Ideapad-Touchscreen-i3-1005G1-Processor/dp/B08B6F1NNR/ref=sr_1_3?crid=2JUKYBAPLWFUW&keywords=laptop&qid=1671914985&sr=8-3;409;4.4 out of 5 stars;1,400
"Acer Aspire 5 A515-56-32DK Slim Laptop - 15.6"" Full HD IPS Display - 11th Gen Intel i3-1115G4 Dual Core Processor - 4GB DDR4 - 128GB NVMe SSD - WiFi 6 - Amazon Alexa - Windows 11 Home in S mode.";https://www.amazon.com/Acer-A515-56-32DK-Display-i3-1115G4-Processor/dp/B09R5VYRVN/ref=sr_1_4?crid=2JUKYBAPLWFUW&keywords=laptop&qid=1671914985&sr=8-4;278;4.3 out of 5 stars;3,515
"Acer Aspire 5 A515-46-R3UB | 15.6"" Full HD IPS Display | AMD Ryzen 3 3350U Quad-Core Mobile Processor | 4GB DDR4 | 128GB NVMe SSD | WiFi 6 | Backlit KB | FPR | Amazon Alexa | Windows 11 Home in S mode";https://www.amazon.com/Acer-A515-46-R3UB-Display-Quad-Core-Processor/dp/B09HVC79PC/ref=sr_1_5?crid=2JUKYBAPLWFUW&keywords=laptop&qid=1671914985&sr=8-5;378;4.5 out of 5 stars;38,970
"ASUS TUF Gaming F15 Gaming Laptop, 15.6"" 144Hz FHD IPS-Type Display, Intel Core i5-10300H Processor, GeForce GTX 1650, 8GB DDR4 RAM, 512GB PCIe SSD, Wi-Fi 6, Windows 11 Home, FX506LH-AS51";https://www.amazon.com/ASUS-IPS-Type-i5-10300H-Processor-FX506LH-AS51/dp/B09SVQ25XH/ref=sr_1_6?crid=2JUKYBAPLWFUW&keywords=laptop&qid=1671914985&sr=8-6;709;4.5 out of 5 stars;660
Eyoyo Portable Monitor, Small Monitor 10.5 inch USB C Monitor FHD 1920x1280 Second Monitor for Laptop 100% SRGB Portable IPS Display HDMI Gaming Monitor;https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0280306KFT4M1WKS2BO&qualifier=1671914985&id=1217841455447275&widgetName=sp_mtf&url=%2FEyoyo-Portable-Monitor-1920x1280-Display%2Fdp%2FB0B4JJ3PGW%2Fref%3Dsr_1_7_sspa%3Fcrid%3D2JUKYBAPLWFUW%26keywords%3Dlaptop%26qid%3D1671914985%26sr%3D8-7-spons%26psc%3D1;129;4.6 out of 5 stars;9
ASUS Laptop L210 11.6” ultra thin, Intel Celeron N4020 Processor, 4GB RAM, 64GB eMMC storage, Windows 10 Home in S mode with One Year of Office 365 Personal, L210MA-DB01;https://www.amazon.com/ASUS-Processor-NumberPad-Microsoft-L210MA-DB01/dp/B081V6W99V/ref=sr_1_8?crid=2JUKYBAPLWFUW&keywords=laptop&qid=1671914985&sr=8-8;151;4.3 out of 5 stars;7,785
Apple 2019 MacBook Pro (16-inch, 16GB RAM, 512GB Storage, 2.6GHz Intel Core i7) - Silver;https://www.amazon.com/Apple-MacBook-16-Inch-Storage-2-6GHz/dp/B081FWLDZ2/ref=sr_1_11?crid=2JUKYBAPLWFUW&keywords=laptop&qid=1671914985&sr=8-11;2,399.;4.7 out of 5 stars;4,933
NIUTO Portable Monitor 144hz 17.3 100% sRGB FHD HDR IPS 1920x1080 VESA Ultra-Slim Screen Dual Speakers with Type-C Mini HDMI for Laptop Phone PC Switch ps5 Xbox MacBook Mac Mini;https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A06099091JUSBA9OSZTXT&qualifier=1671914985&id=1217841455447275&widgetName=sp_mtf&url=%2FNIUTO-Portable-1920x1080-Ultra-Slim-Speakers%2Fdp%2FB0BJ2PLZKL%2Fref%3Dsr_1_12_sspa%3Fcrid%3D2JUKYBAPLWFUW%26keywords%3Dlaptop%26qid%3D1671914985%26sr%3D8-12-spons%26psc%3D1;179;5.0 out of 5 stars;5
