"['44 999 ₽', '']",52 999,12 мес.,nan,MSI Modern 15 B5M-002RU,Windows 11 Home Single Language,nan,6,AMD Ryzen 5 5625U,nan,nan,2.3 ГГц,nan,AMD Radeon Graphics,nan,"15.6""",nan,60 Гц,256 ГБ,8 ГБ,DDR4,HDMI,пластик,nan,1.75 кг
"['44 999 ₽', '']",52 999,12 мес.,nan,Echips Envy,Windows 10 Pro,nan,4,Intel Celeron J4125,nan,nan,2 ГГц,nan,Intel UHD Graphics 600,nan,"15.6""",nan,60 Гц,240 ГБ,8 ГБ,LPDDR4,mini HDMI,пластик,nan,2 кг
"['254 999 ₽', '']",299 999,24 мес.,nan,MSI GE77 HX Raider 12UHS-085RU,Windows 11 Home Single Language,nan,16,Intel Core i9-12900HX,nan,nan,nan,nan,Intel UHD Graphics,16 ГБ,"17.3""",nan,240 Гц,2000 ГБ,32 ГБ,DDR5,"HDMI, USB Type-C x2",пластик,nan,2.9 кг
"['109 799 ₽', '']",121 999,24 мес.,nan,MSI Stealth 15M B12UE-011RU,Windows 11 Home Single Language,nan,14,Intel Core i7-1280P,nan,nan,1.8 ГГц,nan,Intel Iris Xe Graphics,6 ГБ,"15.6""",nan,144 Гц,1000 ГБ,16 ГБ,DDR4,"HDMI, USB Type-C",алюминий,nan,1.8 кг
"['94 499 ₽', '']",104 999,12 мес.,nan,MSI GF76 Katana 12UD-238RU,Windows 11 Home Single Language,nan,14,Intel Core i7-12700H,nan,nan,nan,nan,Intel UHD Graphics,4 ГБ,"17.3""",nan,144 Гц,512 ГБ,16 ГБ,DDR4,HDMI,пластик,nan,2.6 кг
nan,54 999 ₽,12 мес.,nan,Honor MagicBook X 15 BBR-WAH9F,Windows 10 Home Single Language,nan,4,Intel Core i5-10210U,nan,nan,1.6 ГГц,nan,Intel UHD Graphics,nan,"15.6""",nan,60 Гц,512 ГБ,8 ГБ,DDR4,HDMI,алюминий,nan,1.56 кг
nan,79 999 ₽,12 мес.,nan,Honor MagicBook 16 HYM-W56,Windows 11 Home Single Language,nan,6,AMD Ryzen 5 5600H,nan,nan,3.3 ГГц,nan,AMD Radeon Graphics,nan,"16.1""",nan,60 Гц,512 ГБ,16 ГБ,DDR4,HDMI,алюминий,nan,1.84 кг
"['44 999 ₽', '']",52 999,12 мес.,nan,MSI Modern 15 B5M-002RU,Windows 11 Home Single Language,nan,6,AMD Ryzen 5 5625U,nan,nan,2.3 ГГц,nan,AMD Radeon Graphics,nan,"15.6""",nan,60 Гц,256 ГБ,8 ГБ,DDR4,HDMI,пластик,nan,1.75 кг
nan,28 999 ₽,12 мес.,nan,Echips Envy,Windows 10 Pro,nan,4,Intel Celeron J4125,nan,nan,2 ГГц,nan,Intel UHD Graphics 600,nan,"15.6""",nan,60 Гц,240 ГБ,8 ГБ,LPDDR4,mini HDMI,пластик,nan,2 кг
"['254 999 ₽', '']",299 999,24 мес.,nan,MSI GE77 HX Raider 12UHS-085RU,Windows 11 Home Single Language,nan,16,Intel Core i9-12900HX,nan,nan,nan,nan,Intel UHD Graphics,16 ГБ,"17.3""",nan,240 Гц,2000 ГБ,32 ГБ,DDR5,"HDMI, USB Type-C x2",пластик,nan,2.9 кг
