Marketplace;Brand;Series;PriceNow;PriceOriginal;Guarantee_year;OS;CoresNumber;Processor;ProcessorType;ProcessorModel;ProcessorFrequency_GHz;GpuManufacturer;GpuController;ScreenSize_inch;ScreenFrequency_GHz;SSDSize_GGb;RAM_GGb;RAM_type;HDMI;Material;Battery_hour;Weight_kg
Mvideo;Thunderobot;GAMING;54999;69999;1;не установлена;6;Intel;Core i5;11260H;nan;NVIDIA;GeForce GTX 1650 4GB;nan;60;256;8;DDR4;1;пластик/ металл;5;nan
Mvideo;HUAWEI;Matebook D 15;58999;62999;1;Windows 11 Домашняя;6;nan;nan;nan;nan;AMD;Radeon Graphics;nan;nan;512;16;DDR4;1;металл;7;nan
Mvideo;HUAWEI;Matebook D;46999;56999;1;Windows 11 Домашняя;4;nan;nan;nan;nan;Intel;Intel Iris Graphics;14;nan;512;8;DDR4;1;металл;nan;nan
Mvideo;Apple;MacBook Air;80999;99999;1;macOS;8;nan;nan;nan;nan;nan;nan;nan;nan;256;8;nan;nan;алюминий;18;nan
Mvideo;Lenovo;V15 G2 ITL;39999;59999;1;Windows 11 Домашняя 64;4;nan;nan;nan;nan;Intel;Intel Iris Xe Graphics;nan;nan;256;8;DDR4;1;пластик;5;nan
Mvideo;HUAWEI;Matebook D 16;73999;86999;1;Windows 11 Домашняя 64;14;nan;nan;nan;nan;Intel;Intel Iris Xe Graphics;16;nan;512;16;DDR4;1;металл;7;nan
Mvideo;HUAWEI;Matebook D 15;42999;44999;1;Windows 11 Домашняя;2;nan;nan;nan;nan;Intel;Intel UHD Graphics;nan;nan;256;8;DDR4;1;металл;7;nan
Mvideo;HUAWEI;Matebook D 15;52999;54999;1;Windows 11;4;nan;nan;nan;nan;Intel;Intel Iris Xe Graphics;nan;nan;512;8;DDR4;1;металл;6;nan
Mvideo;Apple;nan;101999;139999;1;macOS;8;nan;nan;nan;nan;nan;nan;nan;nan;256;8;nan;nan;алюминий;nan;nan
Mvideo;HUAWEI;Matebook D;69999;76999;1;Windows 11 Домашняя;12;nan;nan;nan;nan;Intel;Intel Iris Xe Graphics;16;nan;512;16;DDR4;1;металл;nan;nan
Mvideo;Xiaomi;RedmiBook 15;39999;39999;1;Windows 11 Домашняя;2;nan;nan;nan;nan;Intel;Intel UHD Graphics;nan;60;256;8;DDR4;1;пластик;9;nan
Mvideo;Apple;MacBook Pro;107999;139999;1;macOS;8;nan;nan;nan;nan;nan;nan;nan;nan;256;8;nan;nan;nan;20;nan
Mvideo;HUAWEI;Matebook 16S;104999;114999;1;Windows 11 Домашняя;14;nan;nan;nan;nan;Intel;Intel Iris Xe Graphics;16;nan;1000;16;LPDDR5;1;металл;7;nan
Mvideo;Lenovo;IdeaPad Gaming 3 15IHU6;64999;69999;1;Windows 11 Домашняя 64;4;Intel;Core i5;11300H;nan;NVIDIA;GeForce GTX 1650 4GB;nan;120;512;8;DDR4;1;пластик;8;nan
Mvideo;ASUS;nan;29999;34999;1;Windows 10 Домашняя S-режим;nan;nan;nan;nan;nan;Intel;Intel UHD Graphics;14;60;128;8;DDR4;1;ABS-пластик;5;nan
Mvideo;Apple;MacBook Pro;154999;199999;1;macOS;8;nan;nan;nan;nan;Apple;nan;nan;120;512;16;nan;nan;алюминий;17;nan
Mvideo;HUAWEI;Matebook D 15;52999;54999;1;Windows 11 Домашняя;6;nan;nan;nan;nan;AMD;Radeon Graphics;nan;nan;512;8;DDR4;1;металл;7;nan
Mvideo;Honor;MagicBook 15;49999;69999;1;не установлена;6;nan;nan;nan;nan;AMD;Radeon Graphics;nan;60;512;16;DDR4;1;алюминиевый сплав;11.май;nan
Mvideo;Acer;Aspire 3;36999;41999;1;Windows 11 Домашняя 64;4;nan;nan;nan;nan;Intel;UHD Graphics 605;nan;nan;256;8;DDR4;1;пластик;6;nan
Mvideo;Thunderobot;GAMING;109999;124999;1;Windows 11 Pro 64;8;Intel;Core i5;12450H;2;NVIDIA;GeForce RTX 3060 6GB;nan;144;512;16;DDR4;1;ABS-пластик;5;nan
Mvideo;Thunderobot;GAMING;69999;89999;1;не установлена;8;Intel;Core i5;12450H;2;NVIDIA;GeForce RTX 3050 4GB;nan;144;512;16;DDR4;1;ABS-пластик;7;nan
Mvideo;HUAWEI;Matebook D 14;42999;44999;1;Windows 11 Домашняя;2;nan;nan;nan;nan;Intel;Intel Iris Graphics;14;nan;256;8;DDR4;1;металл;7;nan
