Brand,Series,PriceNow,PriceOriginal,Guarantee_year,OS,CoresNumber,Processor,ProcessorType,ProcessorModel,ProcessorFrequency_GHz,GpuManufacturer,GpuController,ScreenSize_inch,ScreenFrequency_GHz,SSDSize_GGb,RAM_GGb,RAM_type,HDMI,Material,Battery_hour,Weight_kg
Thunderobot,GAMING,54999.0,69999,1,не установлена,6.0,Intel,Core i5,11260H,2.6,NVIDIA,GeForce GTX 1650 4GB,15.6,60,256.0,8.0,DDR4,1.0,пластик/ металл,5,2.15
HUAWEI,Matebook D 15,58999.0,62999,1,Windows 11 Домашняя,6.0,,,,,AMD,Radeon Graphics,15.6,,512.0,16.0,DDR4,1.0,металл,7,1.63
HUAWEI,Matebook D,46999.0,56999,1,Windows 11 Домашняя,4.0,,,,,Intel,Intel Iris Graphics,14,,512.0,8.0,DDR4,1.0,металл,,1.38
Apple,MacBook Air,80999.0,99999,1,macOS,8.0,,,,,,,,,256.0,8.0,,,алюминий,18,1.29
Lenovo,V15 G2 ITL,39999.0,59999,1,Windows 11 Домашняя 64,4.0,,,,,Intel,Intel Iris Xe Graphics,15.6,,256.0,8.0,DDR4,1.0,пластик,5,1.7
HUAWEI,Matebook D 16,73999.0,86999,1,Windows 11 Домашняя 64,14.0,,,,,Intel,Intel Iris Xe Graphics,16,,512.0,16.0,DDR4,1.0,металл,7,1.71
HUAWEI,Matebook D 15,42999.0,44999,1,Windows 11 Домашняя,2.0,,,,,Intel,Intel UHD Graphics,15.6,,256.0,8.0,DDR4,1.0,металл,7,1.63
HUAWEI,Matebook D 15,52999.0,54999,1,Windows 11,4.0,,,,,Intel,Intel Iris Xe Graphics,15.6,,512.0,8.0,DDR4,1.0,металл,6,1.56
Apple,,101999.0,139999,1,macOS,8.0,,,,,,,,,256.0,8.0,,,алюминий,,1.24
HUAWEI,Matebook D,69999.0,76999,1,Windows 11 Домашняя,12.0,,,,,Intel,Intel Iris Xe Graphics,16,,512.0,16.0,DDR4,1.0,металл,,1.71
Xiaomi,RedmiBook 15,39999.0,39999,1,Windows 11 Домашняя,2.0,,,,,Intel,Intel UHD Graphics,15.6,60,256.0,8.0,DDR4,1.0,пластик,9,1.8
Apple,MacBook Pro,107999.0,139999,1,macOS,8.0,,,,,,,,,256.0,8.0,,,,20,
HUAWEI,Matebook 16S,104999.0,114999,1,Windows 11 Домашняя,14.0,,,,,Intel,Intel Iris Xe Graphics,16,,1000.0,16.0,LPDDR5,1.0,металл,7,1.99
Lenovo,IdeaPad Gaming 3 15IHU6,64999.0,69999,1,Windows 11 Домашняя 64,4.0,Intel,Core i5,11300H,3.1,NVIDIA,GeForce GTX 1650 4GB,15.6,120,512.0,8.0,DDR4,1.0,пластик,8,2.25
ASUS,,29999.0,34999,1,Windows 10 Домашняя S-режим,,,,,,Intel,Intel UHD Graphics,14,60,128.0,8.0,DDR4,1.0,ABS-пластик,5,1.55
Apple,MacBook Pro,154999.0,199999,1,macOS,8.0,,,,,Apple,,,120,512.0,16.0,,,алюминий,17,1.64
HUAWEI,Matebook D 15,52999.0,54999,1,Windows 11 Домашняя,6.0,,,,,AMD,Radeon Graphics,15.6,,512.0,8.0,DDR4,1.0,металл,7,1.63
Honor,MagicBook 15,49999.0,69999,1,не установлена,6.0,,,,,AMD,Radeon Graphics,15.6,60,512.0,16.0,DDR4,1.0,алюминиевый сплав,11.5,1.54
Acer,Aspire 3,36999.0,41999,1,Windows 11 Домашняя 64,4.0,,,,,Intel,UHD Graphics 605,15.6,,256.0,8.0,DDR4,1.0,пластик,6,1.9
Thunderobot,GAMING,109999.0,124999,1,Windows 11 Pro 64,8.0,Intel,Core i5,12450H,2.0,NVIDIA,GeForce RTX 3060 6GB,17.3,144,512.0,16.0,DDR4,1.0,ABS-пластик,5,2.5
Thunderobot,GAMING,69999.0,89999,1,не установлена,8.0,Intel,Core i5,12450H,2.0,NVIDIA,GeForce RTX 3050 4GB,15.6,144,512.0,16.0,DDR4,1.0,ABS-пластик,7,2.15
HUAWEI,Matebook D 14,42999.0,44999,1,Windows 11 Домашняя,2.0,,,,,Intel,Intel Iris Graphics,14,,256.0,8.0,DDR4,1.0,металл,7,1.38
Lenovo,IdeaPad 3,38999.0,51999,1,Windows 10 Домашняя 64,4.0,,,,,AMD,Radeon Vega 8,14,60,512.0,8.0,DDR4,1.0,пластик,12,1.6
Lenovo,IdeaPad 3 15IGL05,17999.0,24999,1,не установлена,2.0,,,,,Intel,UHD Graphics 600,15.6,,,4.0,DDR4,1.0,пластик,14,1.7
HP,240 G7,17999.0,24999,1,Windows 10 Pro,2.0,,,,,Intel,Intel UHD Graphics 600,14,60,128.0,4.0,DDR4,1.0,пластик,12,1.52
Irbis,NBC,35999.0,35999,1,Windows 11 Pro,2.0,,,,,AMD,Radeon Vega 3,15.6,60,256.0,8.0,DDR4,1.0,металл/ пластик,5,1.65
Irbis,NB,18999.0,21999,1,Windows 10 Pro,4.0,,,,,Intel,Intel HD Graphics,15.6,60,,4.0,,1.0,пластик,5,1.570
HP,HP Notebook 15,49999.0,54999,1,Windows 11 Домашняя S-режим,4.0,,,,,Intel,Intel Iris Xe Graphics,15.6,,256.0,12.0,DDR4,1.0,пластик/ алюминий,9,1.7
Digma,EVE,19999.0,25999,1,Windows 10 Домашняя,2.0,,,,,Intel,Intel HD Graphics 500,15.5,60,,4.0,DDR3,1.0,пластик,8,1.25
HUAWEI,Matebook X Pro,119999.0,131999,1,Windows 11,12.0,,,,,Intel,Intel Iris Xe Graphics,14.2,90,1000.0,16.0,LPDDR5,,магниевый сплав,8,1.26
